year,eventId,event,event_image
1916,1,The Chernobyl nuclear reactor explodes in the USSR. ,/images/events/1916_event_1.jpg
1916,2,"The Space Shuttle Challenger disaster takes place when the space shuttle disintegrates after being launched, killing all on board. ",/images/events/1916_event_2.jpg
1916,3,Spain and Portugal are added to the EEC. ,/images/events/1916_event_3.jpg
1916,4,Mad Cow Disease (BSE - Bovine Spongiform Encephalopathy) is identified in Britain for the first time. ,/images/events/1916_event_4.jpg
1916,5,The first triple organ transplant is performed. ,/images/events/1916_event_5.jpg
1917,1,Beginning of the Russian Revolution,/images/events/1917_event_1.jpg
1917,2,British Royal Family Name Change From Saxe-Coburg-Gotha to the Royal House of Windsor,/images/events/default.png
1917,3,Boys Town Founded,/images/events/1917_event_3.jpg
1917,4,Puerto Rico Citizens given US Citizenship,/images/events/1917_event_4.jpg
1917,5,America enters World War I Declares War On Germany and Sends Troops,/images/events/1917_event_5.jpg
1917,6,World War I Jerusalem Captured,/images/events/default.png
1917,7,Mexican Constitution,/images/events/1917_event_7.jpg
1917,8,New Immigration Act required a literacy test,/images/events/1917_event_8.gif
1917,9,Pulitzer Prizes Started,/images/events/1917_event_9.png
1917,10,Earthquake Long Beach California,/images/events/1917_event_10.jpg
1918,1,Brest-Litovsk and the Armistice ends Russian Involvement in World War I,/images/events/1918_event_1.jpg
1918,2,Czar Nicholas II and his family are executed by the Bolsheviks,/images/events/default.png
1918,3,Royal Air Force is Founded,/images/events/1918_event_3.jpg
1918,4,"Influenza Epidemic begins at Fort Riley, Kansas killing 20 million people worldwide",/images/events/1918_event_4.jpg
1918,5,First Use Of Aircraft By US In war,/images/events/1918_event_5.png
1918,6,The Red Baron German Fighter Ace Killed,/images/events/1918_event_6.jpg
1918,7,Germany signs armistice ending World War I,/images/events/1918_event_7.jpg
1918,8,US Airmail Service begins,/images/events/default.png
1918,9,The American Legion First Meeting,/images/events/1918_event_9.jpg
1919,1,Treaty of Versailles,/images/events/default.png
1919,2,League of Nations,/images/events/1919_event_2.png
1919,3,Rotary Dial Telephones Invented,/images/events/1919_event_3.jpg
1919,4,Grand Canyon National Park Created,/images/events/1919_event_4.jpg
1919,5,Daylight Saving Time Introduced in US,/images/events/1919_event_5.jpg
1919,6,First Pop Up Toaster,/images/events/1919_event_6.jpg
1919,7,Midwife Jailed for Advocating Birth Control,/images/events/1919_event_7.jpg
1919,8,18th Amendment / Prohibition Introduced ,/images/events/1919_event_8.jpg
1919,9,19th Amendment to the U.S. Constitution,/images/events/1919_event_9.jpg
1920,1,With the ending of World War I a housing boom in Britain and the United States leads to an increase in home ownership. ,/images/events/default.png
1920,2,The League of Nations is founded but the United States votes against joining. ,/images/events/1920_event_2.png
1920,3,"Nineteenth Amendment to the U.S. Constitution is ratified on August 18, giving women the right to vote. ",/images/events/1920_event_3.jpg
1920,4,The Russian Civil war ends but the country struggles as a famine begins in 1920 and worsens the following year. ,/images/events/1920_event_4.jpg
1920,5,"The Summer Olympics take place in Antwerp, Belgium and they emphasize reconciliation after World War I. ",/images/events/1920_event_5.jpg
1920,6,The 18th Amendment ( Volstead Act / National Prohibition Act ) goes into force at the beginning of the decade which in turn leads to increased black market alcohol that is sold in speakeasies and run by mobsters who pay off local politicians,/images/events/1920_event_6.jpg
1920,7,"The Palmer Raids lead to the arrest and deportation of 6,000 foreign aliens suspected radical leftists. ",/images/events/1920_event_7.jpg
1921,1,The Irish Revolution leads to the Government of Ireland Act of 1920 providing for the partition of Ireland into Northern Ireland and Southern Ireland with separate parliaments leading to the creation of the Irish Free State. ,/images/events/1921_event_1.jpg
1921,2,Russia and Poland establish a permanent border when they sign the Treaty of Riga. ,/images/events/1921_event_2.jpg
1921,3,"The famous and iconic ""Chanel No. 5"" perfume is created by Coco Chanel. ",/images/events/1921_event_3.jpg
1921,4,The Emergency Quota Act is passed to restrict immigration from Southern and Eastern Europe. ,/images/events/1921_event_4.jpg
1921,5,The Communist Party of China is created. ,/images/events/1921_event_5.jpg
1922,1,The Union of Soviet Socialist Republics (USSR) is created in 1922.,/images/events/1922_event_1.jpg
1922,2,Egypt declares its independence. ,/images/events/1922_event_2.jpg
1922,3,"The British Broadcasting Company (BBC) is formed and financed by a Post Office license fee of 10 shillings, payable by anyone owning a radio receiver. ",/images/events/1922_event_3.gif
1922,4,The Fordney-McCumber Act places a high tariff on imports into the United States. ,/images/events/1922_event_4.jpg
1922,5,"Gandhi preached for mass civil disobedience, non-violence and peaceful resistance against British Rule in India and British Authorities sentenced him to six years' imprisonment.",/images/events/1922_event_5.png
1922,6,Fifty thousand people affected during Lower Louisiana Floods in 1922.,/images/events/1922_event_6.jpg
1923,1,King Tutankhamun's Tomb is opened by Howard Carter. ,/images/events/1923_event_1.jpg
1923,2,Insulin is mass-produced for the treatment of diabetes. ,/images/events/1923_event_2.jpg
1923,3,"The Great Kanto earthquake devastates Tokyo and Yokohama in 1923 leaving over 100,000 fatalities. ",/images/events/1923_event_3.jpg
1923,4,"Lady Elizabeth Rowes-Lyon and Prince Albert, the Duke of York, are married at Westminster Abbey. Prince Albert will later become King George VI of England. ",/images/events/1923_event_4.jpg
1923,5,First Home Game Played at the Original Yankee Stadium between the New York Yankees and the Boston Red Sox ,/images/events/1923_event_5.jpg
1923,6,Adolf Hitler leads the Nazi Party in failed coup attempt ( Beer Hall Putsch ) in Germany. ,/images/events/1923_event_6.jpg
1923,7,"The first successful flight of an autogyro, the predecessor to a helicopter, takes place. ",/images/events/1923_event_7.jpg
1924,1,"The first Macy's Thanksgiving Day Parade is held on November 27th, 1924. ",/images/events/1924_event_1.jpg
1924,2,Ellis Island closes as an immigration entry point to the US.,/images/events/1924_event_2.jpg
1924,3,"The very first Winter Olympics are held. They take place in Chamonix, France. ",/images/events/default.png
1924,4,The Indian Citizenship Act confers citizenship on all Native Americans born within the United States.,/images/events/1924_event_4.jpg
1924,5,The first around-the-world flight is completed after 175 days by two places from the United States Army. ,/images/events/1924_event_5.jpg
1924,6,United States --- Wrigley Building Finished ,/images/events/default.png
1924,7,J. Edgar Hoover appointed as the head of the Bureau of Investigation ,/images/events/1924_event_7.jpg
1925,1,The Butler Act which prohibits evolution from being taught in public schools is passed in Tennessee in 1925 it is not repealed until 1967. ,/images/events/1925_event_1.jpg
1925,2,"The classic novel ""The Great Gatsby"" is published by American author F. Scott Fitzgerald. ",/images/events/1925_event_2.jpg
1925,3,"Sears Robuck opens its first retail store in Chicago, Illinois in 1925. Sears had been selling through Home Shopping Catalogs since 1893 and would continue selling through catalogs for next 70 years at the same time as building one of the largest chain stores in the country.",/images/events/1925_event_3.jpg
1925,4,The first television transmitter is developed by John Logie Baird in Great Britain. ,/images/events/1925_event_4.jpg
1925,5,"The First Motel (Motorists Hotel) opens in San Luis Obispo, California. ",/images/events/1925_event_5.jpg
1925,6,The Scopes Monkey Trial comes to an end. ,/images/events/1925_event_6.jpg
1925,7,The first issue of the New Yorker magazine is published ,/images/events/1925_event_7.png
1925,8,The Grand Ole Opry begins broadcasting. ,/images/events/1925_event_8.jpg
1926,1,General strike takes place in England during 1926. ,/images/events/1926_event_1.jpg
1926,2,"Route 66, a major U.S. road running from Chicago to Los Angeles, is opened. ",/images/events/1926_event_2.jpg
1926,3,British warships battle for control in China off of the Yangtze River. ,/images/events/default.png
1926,4,The famous magician and escape artist Harry Houdini dies from a burst appendix at the age of 52. ,/images/events/1926_event_4.jpg
1926,5,The Ford Motor Company announces the creation of a 40-hour work week for factory workers.,/images/events/1926_event_5.jpg
1926,6,John Logie Baird conducts the first public demonstration of a television.,/images/events/1926_event_6.jpg
1926,7,The first SAT college admissions test is given to high school students.,/images/events/1926_event_7.png
1926,8,Chicago Al Capone Turf Wars,/images/events/default.png
1927,1,The Holland Tunnel under the Hudson River opens connecting New York City with New Jersey in 1927.,/images/events/1927_event_1.jpg
1927,2,"In 1927, Charles Lindbergh flies The Spirit of St. Louis across the Atlantic nonstop and solo, direct from New York City to Paris, as the first solo transatlantic flight. ",/images/events/1927_event_2.jpg
1927,3,"Earthquake measuring 8.6 on Richter scale strikes Xining, China in 1927 killing 200,000 ",/images/events/1927_event_3.jpg
1927,4,"Work begins on Mount Rushmore in the late 1920's carving the faces of George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln. It takes nearly 15 years to complete. ",/images/events/default.png
1927,5,"The Great Mississippi Flood in 1927 affects 700,000 people in what was then considered the greatest national disaster in US history. ",/images/events/1927_event_5.jpg
1927,6,"The Columbine Mine Massacre takes place in Serene, Colorado during 1927",/images/events/1927_event_6.jpg
1928,1,"Amelia Earhart flies across the Atlantic Ocean as a passenger, becoming the first woman to do so successfully. ",/images/events/1928_event_1.jpg
1928,2,"The ""Iron Lung,"" a device used to help polio patients breathe, is created by Philip Drinker and Louis Shaw. ",/images/events/1928_event_2.jpg
1928,3,Alexander Fleming discovers penicillin in 1928 which changed the world of modern medicines by introducing the age of antibiotics. ,/images/events/1928_event_3.jpg
1928,4,"Republican candidate Herbert Hoover wins the United States presidential election after defeating the Democratic candidate, Al Smith. ",/images/events/1928_event_4.jpg
1928,5,"Walt Disney's famous Mickey Mouse cartoon character appears for the first time in ""Steamboat Willie."" ",/images/events/default.png
1929,1,The Wall Street Crash of 1929 started the period of The Great Depression in the United States ,/images/events/default.png
1929,2,During most of the decade turf wars between rival gangs were frequent and extremely violent. The best known of the many was Al Capone's Saint Valentine's Day Massacre in Chicago during 1929. ,/images/events/1929_event_2.jpg
1929,3,Vatican City becomes an independent and sovereign state located within Rome after the Lateran Pacts are signed.,/images/events/default.png
1930,1,"Smoot-HawleyTariff bill is passed, raising duties on imports.",/images/events/1930_event_1.jpg
1930,2,The very first FIFA World Cup is held in Uruguay. Uruguay defeats Argentina to win the title. ,/images/events/1930_event_2.jpg
1930,3,Mahatma Gandhi and his followers march 200 miles to the salt beds of Jalalpur. ,/images/events/1930_event_3.jpg
1930,4,"The popular cartoon character ""Betty Boop"" makes her debut in ""Dizzy Dishes.""",/images/events/1930_event_4.jpg
1930,5,Great Depression begins. ,/images/events/1930_event_5.jpg
1931,1,"US suffers worst ever drought in its history, leading to the Dust Bowl years. ",/images/events/default.png
1931,2,Australia becomes independent from England. ,/images/events/1931_event_2.jpg
1931,3,"Francis Scott Key's ""Star Spangled Banner"" is officially named the United States' national anthem. ",/images/events/1931_event_3.jpg
1931,4,Empire State Building is completed. ,/images/events/1931_event_4.jpg
1931,5,The Second Spanish Republic is created. ,/images/events/1931_event_5.jpg
1932,1,The Great Depression influences economies worldwide. More than 24.5% of the population are unemployed in the United States. Over 20% of the workforce are unemployed in the United Kingdom. The Canadian unemployment reached 27%. The German unemployment rate reached nearly 30%. ,/images/events/1932_event_1.jpg
1932,2,Amelia Earhart becomes the first female aviator to successfully fly solo across the Atlantic Ocean. ,/images/events/1932_event_2.jpg
1932,3,Notorious gangster Al Capone is convicted of Income Tax Evasion. ,/images/events/1932_event_3.jpg
1932,4,Franklin D. Roosevelt is elected as the President of the United States. ,/images/events/1932_event_4.jpg
1933,1,Strong winds strip the topsoil from the drought affected farms in the Midwest. ,/images/events/1933_event_1.gif
1933,2,The first successful solo around-the-world flight is completed by Wiley Post. ,/images/events/1933_event_2.jpg
1933,3,Unemployment in the United States reaches its highest level in the winter of 1932 / 1933 with nearly 1 in 3 people unemployed. ,/images/events/default.png
1933,4,"The fabled ""Loch Ness Monster"" is spotted in Scotland for the first time. ",/images/events/1933_event_4.jpg
1933,5,"Adolf Hitler announces the state sponsored ""People's Car"" - ""Volkswagen""",/images/events/1933_event_5.jpg
1933,6,The 21st Amendment is passed repealing the 18th Amendment ending prohibition of alcohol. ,/images/events/1933_event_6.jpg
1933,7,The machine gun is demonstrated by a Japanese scientist.,/images/events/1933_event_7.jpg
1934,1,"Disney introduces the character of ""Donald Duck"" in the animated short ""The Little Wise Hen.""",/images/events/1934_event_1.jpg
1934,2,"Due to poverty around the world, political extremism including Fascism, Nazism, and extreme Communism gains followers. ",/images/events/1934_event_2.jpg
1934,3,John Herbert Dillinger ( Public Enemy Number 1 ) bank robber dies after a shoot out with the FBI. ,/images/events/1934_event_3.jpg
1934,4,Bonnie Parker and Clyde Barrow die after a shoot out with FBI. ,/images/events/1934_event_4.jpg
1934,5,Slum Clearance begins in New York and other major US cities. ,/images/events/1934_event_5.jpg
1934,6,"The Alcatraz Federal Penitentiary, also known as ""The Rock,"" opens near San Francisco and is used to hold some of the more dangerous and well-known U.S. criminals. ",/images/events/1934_event_6.jpg
1935,1,The Boulder (Hoover) Dam is completed.,/images/events/1935_event_1.jpg
1935,2,"Penguin produces their first paperback books, bringing affordable modern literature to the masses. ",/images/events/1935_event_2.jpg
1935,3,Emergency Relief Appropriation Act creates the WPA or Works Progress Administration to provide millions of jobs. ,/images/events/1935_event_3.jpg
1935,4,The United States Social Security Act is signed into law. ,/images/events/1935_event_4.png
1935,5,Legendary player Babe Ruth retires from the sport of baseball after hitting his 714th home-run. ,/images/events/1935_event_5.jpg
1935,6,President Roosevelt's Revenue Act (Wealth Tax Act) begins. ,/images/events/1935_event_6.jpg
1936,1,King Edward VIII abdicates to marry American divorcee Wallis Simpson. ,/images/events/1936_event_1.jpg
1936,2,"Margaret Mitchell's epic Civil War novel ""Gone With the Wind"" is published. ",/images/events/1936_event_2.jpg
1936,3,Jesse Owens wins 4 Gold medals at the Berlin Olympics. ,/images/events/1936_event_3.jpg
1936,4,The first public television broadcasts begin in London. ,/images/events/1936_event_4.jpg
1936,5,The Spanish Civil War begins during July and does not end until 1939. ,/images/events/1936_event_5.jpg
1937,1,"Prince Albert, the Duke of York, becomes King George VI of England in May. ",/images/events/1937_event_1.jpg
1937,2,Amelia Mary Earhart disappeared over the Pacific Ocean during a circumnavigation flight attempt. ,/images/events/1937_event_2.jpg
1937,3,"The United Kingdom's ""999"" Emergency Telephone Service begins operations. ",/images/events/1937_event_3.jpg
1937,4,"The German airship Hindenburg bursts into flames while attempting to moor at Lakehurst, New Jersey. ",/images/events/1937_event_4.jpg
1937,5,The Memorial Day Massacre takes place in Chicago. ,/images/events/1937_event_5.jpg
1937,6,"Japan Invades China and seizes Peking, Tietsin, Nanjing, Shanghai and Hangchow. ",/images/events/1937_event_6.jpg
1938,1,"Seabiscuit beats War Admiral in the ""Race of the Century.""",/images/events/1938_event_1.jpg
1938,2,Orson Welles' radio adaptation of The War of the Worlds is broadcast. ,/images/events/1938_event_2.jxr
1938,3,"Aviator Howard Hughes flies around the world in 3 days and 19 hours, setting a new record. ",/images/events/1938_event_3.jpg
1938,4,The Fair Labor Standards Act ( Wages and Hours Bill ) passes. ,/images/events/1938_event_4.jpg
1938,5,Germany begins its persecution of Jews. ,/images/events/1938_event_5.jpg
1938,6,"The very first ""Superman"" comic is issued by Action Comics. ",/images/events/default.png
1939,1,Germany attacks Poland starting World War II. ,/images/events/1939_event_1.jpg
1939,2,Lou Gehrig retires from Major League Baseball after being diagnosed with ALS. ,/images/events/1939_event_2.jpg
1939,3,Physicists Albert Einstein and Leo Szilard send a letter to President Roosevelt urging the United States to invest time and money into the secret development of nuclear weapons before Germany developed the technology first. ,/images/events/1939_event_3.jpg
1939,4,Dictator Francisco Franco conquers Madrid ending the Spanish Civil War. ,/images/events/1939_event_4.jpg
1939,5,Russia invades Finland. ,/images/events/1939_event_5.jpg
1939,6,"The beloved film starring Judy Garland ""The Wizard of Oz"" premieres. ",/images/events/1939_event_6.jpg
1939,7,The World's Fair opens in New York. ,/images/events/default.png
1940,1,"Germany invades Denmark, Norway, France, Luxembourg, Belgium, and the Netherlands during World War II. ",/images/events/1940_event_1.jpg
1940,2,"Benjamin O. Davis, Sr. is appointed as a General in the United States Army, becoming the first African-American to hold such a position. ",/images/events/1940_event_2.jpg
1940,3,"President Roosevelt signs the Selective Training and Service Act, making it the first military draft to be created during a peacetime in the United States. ",/images/events/1940_event_3.jpg
1940,4,Franklin D. Roosevelt is elected for an unprecedented third term as the U.S. president. ,/images/events/1940_event_4.jpg
1940,5,"Germany begins bombing London in what was known as ""The Blitz"" in an attempt to weaken the British Royal Air Force. ",/images/events/1940_event_5.jpg
1941,1,The Mount Rushmore sculpture is completed. ,/images/events/1941_event_1.jpg
1941,2,"Japan launches a surprise attack on the U.S. base in Pearl Harbor, Hawaii, bringing the United States into the War. Italy and Germany also declare war on the United States. ",/images/events/1941_event_2.jpg
1941,3,Soviet Russia and Japan sign a non-aggression pact. ,/images/events/1941_event_3.jpg
1941,4,"The Siege of Leningrad begins as German troops enter the Soviet Union, the siege will last until 1944. ",/images/events/1941_event_4.jpg
1941,5,"The G.I. Bill is signed by President Roosevelt, providing financial aid to World War II veterans. ",/images/events/1941_event_5.jpg
1942,1,The draft age in the United States is lowered from 21 to 18. ,/images/events/1942_event_1.gif
1942,2,"The famous and well-regarded film ""Casablanca"" premieres in New York City during the month of November. ",/images/events/1942_event_2.jpg
1942,3,The Battle of Midway begins between Japan and the U.S. ,/images/events/1942_event_3.jpg
1942,4,"The U.S. Congress creates several branches of the armed forces for women to join the war effort, including the Army's Women;s Auxiliary Corps or WACs, the Navy's WAVES, the Coast Guard's SPARs, and the Women Air Force Service Pilots. ",/images/events/1942_event_4.jpg
1942,5,The United States and Canada begin the unjust removal and internment of Japanese-Americans and Japanese-Canadians in the fear that they will become a security threat during the war. ,/images/events/1942_event_5.jpg
1943,1,The Pentagon building is completed. ,/images/events/1943_event_1.jpg
1943,2,Mussolini resigns from his position of power and Italy surrenders during World War II. ,/images/events/1943_event_2.jpg
1943,3,General Dwight D. Eisenhower takes control of the Allied forces when he is appointed as the Supreme Allied Commander. ,/images/events/1943_event_3.jpg
1943,4,"Jacques Cousteau and Emile Gagnan invent the ""Aqualung."" ",/images/events/1943_event_4.jpg
1943,5,An uprising takes place in the Warsaw Jewish Ghetto against the Nazis. ,/images/events/1943_event_5.jpg
1944,1,"President Roosevelt is elected to a fourth term in the United States, becoming the only person to ever do so. His fourth term does not last long however, as he died during the next year in April of 1945. ",/images/events/1944_event_1.jpg
1944,2,"Operation Overlord (D-Day) sees 150,000 Allied troops successfully storm the beachs of Normandy in France. Paris is soon liberated as the troops make their way through the country. ",/images/events/1944_event_2.jpg
1944,3,Popular musician and band leader Glenn Miller is reported missing while on his way to perform for troops in Paris. ,/images/events/1944_event_3.jpg
1944,4,Indian independence leader Mahatma Gandhi is released from prison. ,/images/events/1944_event_4.jpg
1944,5,Poland is liberated from Nazi occupation by Soviet troops and the Polish Home Army. ,/images/events/1944_event_5.jpg
1945,1,"World War II ends as Allied and Soviet forces make their way towards Germany, liberating concentration camps along the way. ",/images/events/default.png
1945,2,"The United States drops two atomic bombs on Japan, bringing an end to the Pacific side of the war. ",/images/events/1945_event_2.jpg
1945,3,The United Nations is created after fifty nations sign the charter. ,/images/events/1945_event_3.jpg
1945,4,Vietnam declares its independence from France under Ho Chi Minh. ,/images/events/default.png
1945,5,Harry S. Truman becomes the United States President after FDR dies. ,/images/events/1945_event_5.jpg
1946,1,"The ENIAC (Electronic Numerical Integrator and Computer), the first programmable electronic computer, is unveiled at the University of Pennsylvania. ",/images/events/1946_event_1.jpg
1946,2,The Philippines becomes independent after being under U.S. rule for forty-eight years. ,/images/events/1946_event_2.png
1946,3,The BBC resumes regular television broadcasting after being off the air during World War II. ,/images/events/1946_event_3.jpg
1946,4,Department stores begin to sell Tupperware food containers. ,/images/events/1946_event_4.png
1946,5,"The former Prime Minister of England, Winston Churchill, gives his ""Iron Curtain"" speech. ",/images/events/default.png
1947,1,"The transistor is invented at Bell Laboratories by William Shockley, Walter Brattain, and John Bardeen. ",/images/events/default.png
1947,2,India and Pakistan become independent from the United Kingdom. ,/images/events/default.png
1947,3,The Polaroid instant camera is demonstrated. ,/images/events/default.png
1947,4,"Jackie Robinson becomes a part of the Dodgers, becoming the first African-American to play baseball for the Major League. ",/images/events/default.png
1947,5,Ferrari begins to produce sports cars. ,/images/events/default.png
1948,1,Israel is created as an independent Jewish state. ,/images/events/1948_event_1.jpg
1948,2,The beloved Indian independence leader and pacifist Mahatma Gandhi is assassinated. ,/images/events/1948_event_2.jpg
1948,3,Great Britain creates the NHS (National Health Service). ,/images/events/1948_event_3.png
1948,4,"George de Mestral, a Swiss engineer, creates Velcro but it is not formally patented until 1955. ",/images/events/1948_event_4.jpg
1948,5,The first NASCAR race for modified stock cars is held in Daytona Beach. ,/images/events/1948_event_5.jpg
1949,1,NATO (North Atlantic Treaty Organization) is established. ,/images/events/1949_event_1.jpg
1949,2,Mao Zedong establishes the People's Republic of China. ,/images/events/1949_event_2.jpg
1949,3,The Goldbergs airs live on CBS as one of the very first television sitcoms. ,/images/events/1949_event_3.jpg
1949,4,"The first test flight of the De Havilland Comet takes place, it would later become the first commercial passenger jet. ",/images/events/1949_event_4.jpg
1949,5,45 RPM records are introduced.,/images/events/1949_event_5.jpg
1950,1,The Diner's Club begins issuing the first credit cards. ,/images/events/1950_event_1.png
1950,2,The Korean War begins when North Korea invades South Korea. ,/images/events/1950_event_2.jpg
1950,3,Famous physicist Albert Einstein warns the world that a nuclear war would lead to mutual destruction. ,/images/events/1950_event_3.jpg
1950,4,The United States begins the development and production of the hydrogen bomb. ,/images/events/1950_event_4.jpg
1950,5,The FIFA World Cup is held in Brazil and Uruguay wins the title. ,/images/events/1950_event_5.jpg
1951,1,I Love Lucy premieres on television on the CBS network. ,/images/events/1951_event_1.jpg
1951,2,"DJ Alan Freed coins the term ""Rock n' Roll."" ",/images/events/1951_event_2.jpg
1951,3,Libya becomes independent from Italian rule after about forty years. ,/images/events/1951_event_3.jpg
1951,4,Luis Miramontes develops the first oral contraceptive. ,/images/events/1951_event_4.jpg
1951,5,"The United States ratifies the 22nd amendment, limiting a president to two terms. ",/images/events/1951_event_5.jpg
1952,1,"Elizabeth II becomes the Queen of England after her father, George VI, dies. ",/images/events/1952_event_1.jpg
1952,2,The first hydrogen bomb is successfully detonated by the United States. ,/images/events/1952_event_2.jxr
1952,3,The Mau Mau Rebellion begins in Kenya as an effort to end the British rule of the country. ,/images/events/1952_event_3.jpg
1952,4,Puerto Rico is named as a self-governing commonwealth of the U.S. ,/images/events/1952_event_4.png
1952,5,The first issue of the comedy-driven MAD Magazine is published.,/images/events/1952_event_5.jpg
1953,1,The Double Helix DNA Model is revealed by Francis Crick and James Watson. ,/images/events/1953_event_1.jpg
1953,2,"Sir Edmund Hillary and Tenzing Norgay become the first people to successfully climb to the top of Mount Everest, the tallest mountain in the world. ",/images/events/1953_event_2.jpg
1953,3,Jonas Salk develops the first polio vaccine. ,/images/events/1953_event_3.jpg
1953,4,"The first James Bond novel, ""Casino Royale,"" is published by British author Ian Fleming. ",/images/events/1953_event_4.jpg
1953,5,"Joseph Stalin, the leader of the USSR, dies and is replaced by Nikita Khrushchev. ",/images/events/1953_event_5.jpg
1954,1,The U.S. Supreme Court rules that racial segregation is unconstitutional in public schools in their unanimous decision of Brown v. Board of Education. ,/images/events/1954_event_1.jpg
