year,eventId,event,event_image
1954,2,"U.S. Senator Joseph McCarthy is censured by the Senate, ending his four year long hunt for Communists within the United States government. ",/images/events/default.png
1954,3,Frozen TV Dinners are introduced by Swanson. ,/images/events/1954_event_3.jpg
1954,4,Ellis Island ceases to be a point of immigration into the U.S. when it officially closes. ,/images/events/1954_event_4.jpg
1954,5,Roger Bannister becomes the first recorded man to run a mile in under four minutes. ,/images/events/1954_event_5.jxr
1955,1,"The popular children's television show ""The Mickey Mouse Club"" premieres. The Disneyland theme park in California also opened during this year.. ",/images/events/1955_event_1.jpg
1955,2,"The Warsaw Pact is signed by the Soviet Union and seven of its satellite countries (Poland, Hungary, East Germany, Albania, Bulgaria, Romania, and Czechoslovakia). ",/images/events/default.png
1955,3,"Rosa Parks is arrested in Alabama after she refuses to give up her bus seat to a white passenger, sparking the Civil Rights Movement. ",/images/events/1955_event_3.jpg
1955,4,The McDonald's chain of restaurants is started by Ray Kroc. ,/images/events/1955_event_4.jpg
1955,5,"The United States adds ""In God We Trust"" to all paper currency. ",/images/events/1955_event_5.jpg
1956,1,"The popular musician Elvis Presley has his very first hit song, ""Heartbreak Hotel."" ",/images/events/1956_event_1.jpg
1956,2,American Actress Grace Kelly marries Prince Rainier of Monaco. ,/images/events/1956_event_2.jpg
1956,3,The Suez Crisis begins after Egypt nationalizes the Suez Canal. ,/images/events/1956_event_3.jpg
1956,4,"The Federal-Aid Highway Act of 1956 becomes law, allowing for the mass construction of tens of thousands of interstate highways in the U.S. ",/images/events/1956_event_4.jpg
1957,1,"The USSR successfully launches Sputnik 1, the very first artificial satellite. They also launch Sputnik 2 later in the year, a satellite that carried the first animal into space. ",/images/events/1957_event_1.jpg
1957,2,"The ""Baby Boom"" peaks during this year. ",/images/events/1957_event_2.jpg
1957,3,Nine African-American students enroll at Little Rock Central High School in Arkansas and are met with resistance by protesters and the state's governor. Federal troops end up escorting the students into the school at the command of President Eisenhower. ,/images/events/1957_event_3.jpg
1957,4,"The European Economic Community is created when West Germany, Italy, Belgium, France, the Netherlands, and Luxembourg sign the Treaty of Rome. ",/images/events/1957_event_4.jpg
1957,5,Malaysia and Ghana gain independence from the United Kingdom. ,/images/events/1957_event_5.jpg
1958,1,The microchip is co-invented by Robert Noyce and Jack Kilby. ,/images/events/1958_event_1.jpg
1958,2,NASA (National Aeronautics and Space Administration) is created. ,/images/events/1958_event_2.png
1958,3,"Bobby Fischer, a fourteen-year-old boy, wins the U.S. Chess Championship. ",/images/events/1958_event_3.jpg
1958,4,The popular children's toy the Hula-Hoop is created by Wham-O. ,/images/events/1958_event_4.jpg
1958,5,The Great Chinese Famine begins. ,/images/events/1958_event_5.png
1959,1,"The Cuban revolution ends and Fidel Castro comes to power, creating the first Communist nation in the West. ",/images/events/1959_event_1.jpg
1959,2,Alaska and Hawaii are admitted as the 49th and 50th states in the U.S. ,/images/events/1959_event_2.jpg
1959,3,The Soviet Union's Luna 2 spacecraft becomes the first man-made object to touch the surface of the Moon after it crashes. ,/images/events/1959_event_3.jpg
1959,4,"The first astronauts are introduced by NASA ( John H. Glenn, Jr. and Alan Shepard, Jr. ). ",/images/events/1959_event_4.jpg
1959,5,The St. Lawrence Seaway is completed. ,/images/events/1959_event_5.jpg
1960,1,Democrat John F. Kennedy wins the U.S. Presidential Election after defeating Republican Richard Nixon. Kennedy became the first president and was the youngest person to have been elected into the highest office at the time. ,/images/events/1960_event_1.jpg
1960,2,"Togo, Cote D'Ivoire, Chad, Benin, Mauritania, Senegal, and the Central African Republic gain independence from France. ",/images/events/default.png
1960,3,The Organization of Petroleum Exporting Countries (OPEC) is created. ,/images/events/1960_event_3.jpg
1960,4,"The United States decides to send 3,500 U.S. troops to Vietnam. ",/images/events/1960_event_4.jpg
1960,5,"TIROS-1, the first weather satellite, is launched by the U.S. ",/images/events/default.png
1961,1,"Soviet Cosmonaut Yuri Gagarin becomes the first person in space. One month later, Alan Shepard becomes the first American in space. ",/images/events/1961_event_1.jpg
1961,2,Construction on the Berlin Wall begins in an effort to separate East and West Berlin. ,/images/events/1961_event_2.jpg
1961,3,"The Bay of Pigs invasion is an unsuccessful U,S, backed operation to overthrow Fidel Castro in Cuba. ",/images/events/1961_event_3.jpg
1961,4,The Peace Corps is created. ,/images/events/1961_event_4.jpg
1961,5,WWF (World Wide Fund for Nature) is created. ,/images/events/default.png
1962,1,The Cuban Missile Crisis has the world on the edge of another World War as the United States and USSR come close to launching nuclear attacks. ,/images/events/1962_event_1.jpg
1962,2,James Meredith becomes the first African-American student to enroll at the University of Mississippi. ,/images/events/1962_event_2.jpg
1962,3,The comic book character of Spider-Man makes his debut in the Amazing Fantasy #15 comic. ,/images/events/1962_event_3.jpg
1962,4,"The Beatles release their first single, ""Love Me Do,"" in the United Kingdom. ",/images/events/1962_event_4.jpg
1962,5,Sam Walton opens the first Wal-Mart store in Arkansas. ,/images/events/1962_event_5.jpg
1963,1,United States President John F. Kennedy is assassinated by Lee Harvey Oswald. ,/images/events/default.png
1963,2,"U.S. Civil Rights Leader Martin Luther King Jr. gives is famous ""I Have a Dream"" speech. ",/images/events/default.png
1963,3,The United States begins to use Zip Codes. ,/images/events/1963_event_3.jpg
1963,4,"Yugoslavia becomes a socialist federal republic and President Josip Tito is appointed as ""President for Life.""",/images/events/1963_event_4.jpg
1963,5,"The BBC broadcasts the very first episode of the iconic television show ""Doctor Who.""",/images/events/1963_event_5.jpg
1964,1,United States President Lyndon B. Johnson signs the Civil Rights Act of 1964 into law. ,/images/events/1964_event_1.jpg
1964,2,NASA's Mariner 4 space probe successfully approaches Mars and becomes the first spacecraft to take images of a planet from deep space. ,/images/events/1964_event_2.jpg
1964,3,"Sidney Poitier wins the Academy Award for ""Best Actor"" becoming the first black actor to win that honor. ",/images/events/1964_event_3.jpg
1964,4,The computer coding language BASIC (Beginner's All-Purpose Symbolic Instruction Code) is introduced. ,/images/events/1964_event_4.jpg
1964,5,The Ford Motor Company begins to produce and sell the Ford Mustang,/images/events/1964_event_5.jpg
1965,1,The Voting Rights Act is signed into law by President Lyndon Johnson. ,/images/events/1965_event_1.png
1965,2,Soviet Cosmonaut Aleksei Leonov becomes the first person to perform a space walk. ,/images/events/1965_event_2.jpg
1965,3,"Martin Luther King, Jr. leads a peaceful civil rights march from Selma to Montgomery in Alabama. ",/images/events/1965_event_3.jpeg
1965,4,The Vietnam War escalates and opposition to it begins to mount as anti-Vietnam protests become more common. ,/images/events/1965_event_4.jpg
1965,5,Mary Quant designs the mini-skirt in London and it becomes a fashion craze. ,/images/events/1965_event_5.jpg
1966,1,"The first episode of the popular television show ""Star Trek"" airs. ",/images/events/1966_event_1.jpg
1966,2,The Soviet Union's Luna 9 unmanned spacecraft lands on the Moon. ,/images/events/1966_event_2.jpg
1966,3,Botswana and Lesotho gain independence from England. ,/images/events/1966_event_3.jpg
1966,4,Indira Gandhi becomes the Prime Minister of India. ,/images/events/1966_event_4.jpg
1966,5,The Canada Pension Plan is introduced in Canada. ,/images/events/1966_event_5.jpg
1967,1,Rolling Stone publishes its first magazine issue. ,/images/events/1967_event_1.jpg
1967,2,"The Green Bay Packers and the Kansas City Chiefs play against each other in the first Super Bowl, with the Packers winning 35 to 10. ",/images/events/1967_event_2.jpg
1967,3,South African doctor Christiaan Barnard completes the first heart transplant operation. ,/images/events/1967_event_3.jpg
1967,4,The 25th Amendment to the U.S. Constitution is ratified. ,/images/events/1967_event_4.jpg
1967,5,Thurgood Marshall is appointed ,/images/events/1967_event_5.jpg
1968,1,Civil Rights leader Martin Luther King Jr. is assassinated in April by James Earl Ray. ,/images/events/1968_event_1.jpg
1968,2,Egypt's Aswan Dam is completed. ,/images/events/1968_event_2.jpg
1968,3,The Civil Rights Act of 1968 is signed into law by President Johnson. ,/images/events/1968_event_3.jpg
1968,4,Richard Nixon wins the United States presidential election. ,/images/events/1968_event_4.jpg
1968,5,"The first manned Apollo mission, Apollo 7, is launched by NASA. ",/images/events/1968_event_5.jpg
1969,1,Neil Armstrong and Buzz Aldrin become the first men to arrive on the Moon during NASA's Apollo 11 mission. ,/images/events/1969_event_1.jpg
1969,2,"The Woodstock music festival takes place in New York and features such acts as Janis Joplin, Jimi Hendrix, Jefferson Airplane, and The Who. ",/images/events/1969_event_2.jpg
1969,3,"ARPANET, the predecessor to the Internet, relays its first communications between UCLA and Stanford. ",/images/events/1969_event_3.gif
1969,4,"The popular children's television show ""Sesame Street"" debuts. ",/images/events/1969_event_4.jpg
1969,5,The United Kingdom abolishes the death penalty. ,/images/events/1969_event_5.jpg
1970,1,"The popular band ""The Beatles"" announce they have disbanded. ",/images/events/1970_event_1.jpg
1970,2,NASA's Apollo 13 Moon Mission returns to Earth successfully after abandoning its mission to the Moon after experiencing oxygen tank problems and an explosion. ,/images/events/1970_event_2.jpg
1970,3,Forty-three nations ratify the Nuclear Non-Proliferation Treaty. ,/images/events/1970_event_3.jpeg
1970,4,The United States invades Cambodia. ,/images/events/1970_event_4.jpg
1970,5,"The first jumbo-jet, the Boeing 747, makes its debut commercial flight from New York to London.",/images/events/1970_event_5.jpg
1971,1,The U.S. voting age is lowered from 21 to 18 years old when the 26th amendment is ratified. ,/images/events/1971_event_1.gif
1971,2,"The Walt Disney World Resort is opened in Orlando, Florida. ",/images/events/1971_event_2.jpg
1971,3,The Pentagon Papers are published by the New York Times. ,/images/events/1971_event_3.jpg
1971,4,Qatar and Sierra Leone become independent from England. ,/images/events/1971_event_4.jpg
1971,5,"The first microprocessor, the 4004, is released by Intel. ",/images/events/1971_event_5.jpg
1972,1,The Watergate Scandal begins when White House operatives are caught burglarizing the Democratic National Committee,/images/events/1972_event_1.jpg
1972,2,"PONG, the first video game to have commercial success, is released. ",/images/events/1972_event_2.jpg
1972,3,"The first U.S. cable subscription service, HBO, is introduced. ",/images/events/1972_event_3.jpg
1972,4,Richard Nixon is elected as the President of the United States for his second term. ,/images/events/1972_event_4.jpg
1973,1,Secretariat wins the Triple Crown in horse racing. ,/images/events/1973_event_1.jpg
1973,2,The Mariner 10 space probe is launched by NASA and later becomes the first spacecraft to study Mercury. ,/images/events/1973_event_2.jpg
1973,3,The United States Supreme Court declares that abortion is a constitutional right in the landmark decision on the Roe v. Wade case. ,/images/events/1973_event_3.jpg
1973,4,"Billy Jean King beats Bobby Riggs in the ""Battle of the Sexes"" tennis match. ",/images/events/1973_event_4.jpg
1973,5,Belize and the Bahamas gain independence from the United Kingdom. ,/images/events/1973_event_5.png
1974,1,U.S. President Richard Nixon resigns from office after being implicated in the Watergate Scandal. ,/images/events/1974_event_1.jpg
1974,2,The UPC Bar Code is introduced. ,/images/events/1974_event_2.jpg
1974,3,India becomes the sixth nuclear power when it successfully detonates a nuclear bomb. ,/images/events/1974_event_3.jpg
1974,4,The world's population is an estimated 4 billion people. ,/images/events/1974_event_4.jpg
1974,5,Gerald Ford becomes the United States president after Nixon resigns. ,/images/events/1974_event_5.jpg
1975,1,The Vietnam War ends. ,/images/events/1975_event_1.jpg
1975,2,"The movie ""Jaws"" opens in theaters and is considered to be one of the first block-buster films. ",/images/events/1975_event_2.jpg
1975,3,Sony introduces the Betamax video tape system. ,/images/events/1975_event_3.jpg
1975,4,Bill Gates and Paul Allen create Microsoft. ,/images/events/1975_event_4.jpg
1975,5,"The popular late-night sketch show, Saturday Night Live, airs for the first time. ",/images/events/1975_event_5.jpg
1976,1,Steve Jobs and Steve Wozniak create the Apple Computer Company. ,/images/events/1976_event_1.webp
1976,2,"NASA introduces the first space shuttle, the Enterprise. ",/images/events/1976_event_2.jpg
1976,3,"The Democratic candidate, Jimmy Carter, defeats Republican incumbent Gerald Ford, to win the U.S. Presidential race. ",/images/events/1976_event_3.jpg
1976,4,The first commercial Concorde flight takes place. ,/images/events/1976_event_4.jpg
1976,5,The CN Tower in Toronto is completed and becomes the world's tallest freestanding structure. ,/images/events/1976_event_5.jpg
1977,1,Control of the Panama Canal is returned to Panama from the United States. ,/images/events/1977_event_1.jpg
1977,2,The Trans-Alaskan Pipeline is opened. ,/images/events/1977_event_2.jpeg
1977,3,MRI (Magnetic Resonance Imaging) Scanner is first tested. ,/images/events/1977_event_3.jpg
1977,4,The Canadian province of Quebec adopts French as an official language. ,/images/events/1977_event_4.gif
1977,5,Amnesty International wins the Nobel Peace Prize. ,/images/events/1977_event_5.jpg
1978,1,"The very first ""Garfield"" comic strip debuts in 41 U.S. newspapers. ",/images/events/1978_event_1.png
1978,2,"Louise Brown, the very first test tube baby, is born. ",/images/events/1978_event_2.jpg
1978,3,Israel and Egypt sign the Camp David Accords. ,/images/events/1978_event_3.jpg
1978,4,Pope Paul VI dies and is replaced by Pope John Paul I who also dies this year and is replaced by Pope John Paul II. ,/images/events/1978_event_4.jpg
1978,5,The computer video game Space Invaders is released. ,/images/events/1978_event_5.jpg
1979,1,The Three Mile Island nuclear incident occurs in Pennsylvania. ,/images/events/1979_event_1.jpg
1979,2,"After being exiled for fifteen years, Ayatollah Khomeini returns to power in Iran. ",/images/events/1979_event_2.jpg
1979,3,The Walkman is introduced by Sony. ,/images/events/1979_event_3.jpeg
1979,4,"Michael Jackson's debut solo album ""Off the Wall"" is released. ",/images/events/1979_event_4.jpg
1979,5,Rhodesia becomes Zimbabwe after the country's first black-led government in 90 years takes power. ,/images/events/1979_event_5.jpg
1980,1,Mount St. Helens erupts in Washington state. ,/images/events/1980_event_1.jpg
1980,2,John Lennon is shot and dies. ,/images/events/1980_event_2.jpg
1980,3,"The popular video arcade game ""Pac-Man"" is released. ",/images/events/1980_event_3.jpg
1980,4,Ronald Reagan is elected as the President of the United States. ,/images/events/1980_event_4.jpg
1980,5,The United States boycotts the 1980 Olympics in Moscow. ,/images/events/1980_event_5.jpg
1981,1,Lady Diana Spencer and Charles the Prince of Wales are married. ,/images/events/1981_event_1.jpg
1981,2,The cable network MTV (Music Television) is launched. ,/images/events/1981_event_2.jpg
1981,3,The AIDS virus is identified in the United States by scientists. ,/images/events/1981_event_3.jpg
1981,4,"Anwar Sadat, the Egyptian President, is assassinated. ",/images/events/1981_event_4.jpg
1981,5,Sandra Day O'Connor is nominated as the first female Supreme Court Justice by President Reagan. ,/images/events/1981_event_5.jpg
1982,1,The Computer is named Time Magazine's Man of the Year. ,/images/events/1982_event_1.png
1982,2,Disney World opens the EPCOT ( Experimental Community of Tomorrow ) park. ,/images/events/1982_event_2.jpg
1982,3,The FIFA World Cup is held in Spain and Italy wins the title. ,/images/events/1982_event_3.jpg
1982,4,Japan begins selling the first CD players. ,/images/events/1982_event_4.jpg
1982,5,"Late Rock n' Roll star Elvis Presley's home ""Graceland"" is opened to the public as an attraction. ",/images/events/1982_event_5.jpg
1983,1,Sally Ride becomes the first American woman in space. ,/images/events/1983_event_1.jpg
1983,2,Motorola introduces the first mobile phones to the United States in 1983. ,/images/events/1983_event_2.jpg
1983,3,"Microsoft releases ""Word"" their word processing program. ",/images/events/1983_event_3.png
1983,4,"The Swiss company ""Swatch"" introduces their watches and they become a fashion craze. ",/images/events/1983_event_4.jpg
1983,5,The I.R.A. bombs the popular London department store Harrods.,/images/events/1983_event_5.jpg
1984,1,"India's Prime Minister, Indira Gandhi, is assassinated. ",/images/events/1984_event_1.jpg
1984,2,"Band Aid records ""Do They Know It's Christmas?"" a charity single to raise money for famine relief in Ethiopia. ",/images/events/1984_event_2.jpg
1984,3,The Soviet Union boycotts the 1984 Los Angeles Olympic Summer Games. ,/images/events/1984_event_3.jpg
1984,4,China and the United Kingdom agree that the U.K. will transfer power over Hong Kong back to China in the future. ,/images/events/1984_event_4.jpg
1984,5,"MTV begins the ""Video Music Awards"" or VMAs",/images/events/1984_event_5.png
1985,1,The iconic Route 66 is removed from the highway system in the United States. ,/images/events/1985_event_1.jpg
1985,2,"In what many consider one of the worst marketing moves, Coca-Cola introduced ""New Coke"" and were forced to return to the old formula only months later due to backlash. ",/images/events/1985_event_2.jpg
1985,3,The first version of Microsoft Windows is released. ,/images/events/1985_event_3.jpg
1985,4,"Legendary basketball player Michael Jordan is named as the NBA's ""Rookie of the Year."" ",/images/events/1985_event_4.jpg
1985,5,The wreck of the Titanic was discovered. ,/images/events/1985_event_5.jpg
1986,1,The Chernobyl nuclear reactor explodes in the USSR. ,/images/events/1986_event_1.jpg
1986,2,"The Space Shuttle Challenger disaster takes place when the space shuttle disintegrates after being launched, killing all on board. ",/images/events/1986_event_2.jpg
1986,3,Spain and Portugal are added to the EEC. ,/images/events/1986_event_3.jpg
1986,4,Mad Cow Disease (BSE - Bovine Spongiform Encephalopathy) is identified in Britain for the first time. ,/images/events/1986_event_4.jpg
1986,5,The first triple organ transplant is performed. ,/images/events/1986_event_5.jpg
1987,1,Disposable contact lenses are first sold. ,/images/events/1987_event_1.jpg
1987,2,The Simpsons make their debut on the Tracy Ullman Show. ,/images/events/1987_event_2.png
1987,3,Margaret Thatcher is elected as the British Prime Minister for the third time. ,/images/events/1987_event_3.jpeg
1987,4,The Fox television network begins operations. ,/images/events/1987_event_4.png
1987,5,Construction begins on the Channel Tunnel. ,/images/events/1987_event_5.jpg
1988,1,The Soviet Union withdraws their troops from Afghanistan. ,/images/events/1988_event_1.jpg
1988,2,George H.W. Bush is elected as the U.S. President after defeating Michael Dukakis. ,/images/events/1988_event_2.jpg
1988,3,"Two years after the Challenger Disaster, NASA's Space Shuttle program resumes. ",/images/events/1988_event_3.jpg
1988,4,The site of the original Globe Theater is discovered by archaeologists in London. ,/images/events/1988_event_4.jpg
1988,5,The Iran-Iraq war ends. ,/images/events/1988_event_5.jpg
1989,1,The Berlin Wall is torn down at the end of the Cold War. ,/images/events/1989_event_1.jpg
1989,2,Pro-Democracy protests take place at Tiananmen Square in China. ,/images/events/1989_event_2.jpg
1989,3,"The Exxon Valdez oil tanker spills 240,000 barrels of oil in the Prince William Sound in Alaska. ",/images/events/1989_event_3.jpeg
1989,4,The Nintendo Game Boy portable video game system is released. ,/images/events/1989_event_4.jpg
1989,5,NASA launches the Galileo spacecraft. ,/images/events/1989_event_5.webp
1990,1,Nelson Mandela is released from prison in South Africa and becomes the leader of the ANC. ,/images/events/1990_event_1.jpeg
1990,2,Tim Berners-Lee publishes a formal proposal for the World Wide Web. ,/images/events/1990_event_2.jpg
1990,3,East and West Germany are reunited after the collapse of the Soviet Union. ,/images/events/1990_event_3.jpg
1990,4,Margaret Thatcher resigns from her position as Prime Minister in the United Kingdom. ,/images/events/1990_event_4.jpg
1990,5,"One of the most completed T. Rex fossils is found in South Dakota and it is named ""Sue"" after the paleontologist that discovered it. ",/images/events/1990_event_5.jpg
1991,1,The Internet becomes available for unrestricted commercial use. ,/images/events/1991_event_1.jpg
1991,2,"Croatia, Macedonia, and Slovenia become independent from the former Yugoslavia.",/images/events/1991_event_2.jpg
1991,3,"The lead singer of the band Queen, Freddie Mercury, dies from AIDS. ",/images/events/1991_event_3.jpg
1991,4,Operation Desert Storm takes place in Iraq and Kuwait. ,/images/events/1991_event_4.jpg
1991,5,Boris Yeltsin becomes Russia's first elected President. ,/images/events/1991_event_5.jpg
1992,1,The European Union is created when the Maastricht Treaty is signed. ,/images/events/1992_event_1.jpg
1992,2,Democrat Bill Clinton is elected as the United States President. ,/images/events/1992_event_2.jpg
1992,3,The Mall of America opens in Minnesota. ,/images/events/1992_event_3.jpg
1992,4,Euro Disney is opened in France. ,/images/events/1992_event_4.jpg
1992,5,Bosnia and Herzegovina declare independence. ,/images/events/1992_event_5.jpg
1993,1,Czechoslovakia separates into the Czech Republic and Slovakia. ,/images/events/1993_event_1.jpg
1993,2,The Hubble Telescope is repaired in space by a crew on the Space Shuttle Endeavour. ,/images/events/1993_event_2.jpg
1993,3,NAFTA (North American Free Trade Agreement) is signed into law. ,/images/events/1993_event_3.jpg
1993,4,Intel introduces the Pentium Microprocessor. ,/images/events/1993_event_4.jpg
1993,5,Russia and the United States sign the START II Treaty.,/images/events/1993_event_5.jpg
1994,1,Nelson Mandela becomes the President of South Africa after being elected in the country's first multi-racial elections. ,/images/events/1994_event_1.jpg
1994,2,The 1994 FIFA World Cup is held in the United States and Brazil wins the title. ,/images/events/1994_event_2.jpg
1994,3,The 1994 Major League Baseball season is cancelled when the Players Association goes on strike. ,/images/events/1994_event_3.jpg
1994,4,"Genocide and Civil War take place in Rwanda with an estimated 500,000 or more people killed. ",/images/events/1994_event_4.jpg
1994,5,"The Channel Tunnel is completed and opens, connecting France and England. ",/images/events/1994_event_5.jpg
1995,1,The American Space Shuttle Atlantis docks with the Russian Mir Space Station for the first time. ,/images/events/1995_event_1.gif
1995,2,The online auction website Ebay is founded. ,/images/events/1995_event_2.png
1995,3,The Java Programming Language is released. ,/images/events/1995_event_3.png
1995,4,The first Trans-Pacific hot air balloon solo flight is completed by Steve Fossett. ,/images/events/1995_event_4.jpg
1995,5,The World Trade Organization ( WTO ) is created. ,/images/events/1995_event_5.png
1996,1,Princess Diana and Prince Charles get divorced. ,/images/events/1996_event_1.jpeg
1996,2,"The internet search engine ""Ask Jeeves"" is created. ",/images/events/1996_event_2.gif
1996,3,"The Summer Olympics are held in Atlanta, Georgia. ",/images/events/1996_event_3.jpg
1996,4,Kofi Annan becomes the Secretary General of the United Nations. ,/images/events/1996_event_4.jpg
1996,5,Bill Clinton is elected for a second term as the United States President after he defeats Bob Dole.,/images/events/1996_event_5.jpg
1997,1,Madeleine Albright is appointed as the first female Secretary of State in the United States. ,/images/events/1997_event_1.jpg
1997,2,Scotland creates its own Parliament. ,/images/events/1997_event_2.jpg
1997,3,The first Harry Potter book is published by author J.K. Rowling. ,/images/events/1997_event_3.jpg
1997,4,"Scientists at the Roslin Institute unveil ""Dolly"" the first successfully cloned sheep. ",/images/events/1997_event_4.jpg
1997,5,The Hale-Bopp comet makes its closest approach to Earth. ,/images/events/1997_event_5.jpg
1998,1,The search engine Google is founded. ,/images/events/1998_event_1.jpg
1998,2,Apple Computers reveals the iMac computer. ,/images/events/1998_event_2.jpg
1998,3,The United States has a budget surplus for the first time in thirty years. ,/images/events/1998_event_3.jpg
1998,4,"Ireland and the United Kingdom sign the Belfast Agreement, also known as the Good Friday Agreement. ",/images/events/1998_event_4.jpg
1998,5,Central American countries are devastated by Hurricane Mitch. ,/images/events/1998_event_5.jpg
1999,1,President Bill Clinton faces impeachment proceedings. ,/images/events/1999_event_1.jpg
1999,2,The file-sharing service Napster is created. ,/images/events/1999_event_2.jpg
1999,3,"The Dow Jones closes above 11,000 for the first time. ",/images/events/1999_event_3.jpg
1999,4,Helen Clark becomes the first female Prime Minister elected in New Zealand. ,/images/events/1999_event_4.jpg
1999,5,Eleven countries begin to use the Euro as their currency. ,/images/events/1999_event_5.jpg
2000,1,"U.S. presidential election, 2000 Republican challenger George W. Bush defeats Democrat Vice President Al Gore, but the final outcome is not known for over a month because of disputed votes in Florida. ",/images/events/2000_event_1.jpg
2000,2,"The State of Vermont passes HB847, legalizing Civil Unions for same-sex couples. ",/images/events/2000_event_2.jpg
2000,3,Founder of Microsoft Bill Gates leaves his position as CEO. ,/images/events/2000_event_3.jpeg
2000,4,Sony releases the Playstation 2 Gaming Console in Japan. ,/images/events/2000_event_4.png
2000,5,California suffers the first of two years of Rolling Blackouts ,/images/events/2000_event_5.jpg
2000,6,The Lifespan in US is now 77.5 years ,/images/events/2000_event_6.jpg
2000,7,Tiger Woods becomes the youngest player to win a Grand Slam in Golf ,/images/events/2000_event_7.jpg
2001,1,"A-Qaeda Terrorists attack the United States using hijacked passenger aircraft to bring down the Twin Towers in New York and crashing an aircraft into the Pentagon in Arlington County, Virginia leaving nearly 3,000 people dead. the attacks become known simply as 911 due to the date of the attack September 11th. ",/images/events/2001_event_1.jpg
2001,2,"Due to the attacks a number of things happen, America Declares War on Terrorism and invades Afghanistan where the leader of al-Qaeda Osama bin Laden was believed to be hiding , Security increases for all aspects of American life including Airline Security. ",/images/events/2001_event_2.jpg
