year,president,vicePresident,sp500,gainTo,gallonOfMilk,loafOfBread,gallonOfGas,newHome,newCar,wages,baseball,superbowl,popularGirl,popularBoy,popularMovie,popularActor,popularActress,populartvShow,timePerson,chineseYear,hipHopMusic,popMusic,actors_image,actresses_image,movies_image,presidents_image,vice_presidents_image,time_persons_image,cars_image,gas_image,bread_image,milk_image
1916,Woodrow Wilson,Thomas R. Marshall,9.33,27576%,$0.09 ,$0.06 ,$0.15 ,"$3,200 ","The Cabriolet at Detroit $1,675",$687 ,Boston Red Sox,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Boston Red Sox,N/A,Dragon,N/A,Stars and Stripes Forever by John Phillip Sousa,/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1916.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1917,Woodrow Wilson,Thomas R. Marshall,9.57,26882%,$0.12 ,$0.06 ,$0.25 ,"$3,200 ",Allen $795,$748 ,Chicago White Sox,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Chicago White Sox,N/A,Snake,N/A,"""Over There"" by Enrico Caruso",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1917.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1918,Woodrow Wilson,Thomas R. Marshall,7.21,35713%,$0.15 ,$0.08 ,$0.25 ,"$3,200 ","Chander Six; seven-passenger touring car $1,395",$972 ,Boston Red Sox,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Boston Red Sox,N/A,Horse,N/A,"""Tiger Rag/Skeleton Jangle"" by the Original Dixieland Jass Band",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1918.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1919,Woodrow Wilson,Thomas R. Marshall,7.85,32794%,$0.16 ,$0.08 ,$0.25 ,"$3,200 ","Studebaker Convertible Sedan $1,700","$1,117 ",Cincinnati Reds,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Cincinnati Reds,N/A,Goat,N/A,"""After You've Gone"" by Marrion Harris",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1919.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1920,Woodrow Wilson,Thomas R. Marshall,8.83,29143%,$0.17 ,$0.12 ,$0.30 ,"$3,200 ","Kline Car Coupe $3,090","$1,236 ",Cleveland Indians,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Cleveland Indians,N/A,Monkey,N/A,"Paul Whiteman, ""Whispering""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1920.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1921,Warren G. Harding,Calvin Coolidge,7.11,36217%,$0.15 ,$0.10 ,$0.26 ,"$3,200 ","Willys-Knight coupe-sedan $1,450","$1,009 ",New York Giants,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,New York Giants,N/A,Rooster,N/A,"Al Jolson, ""April Showers""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/29_William_H_Harding.jpg,"/images/vice_presidents/Calvin_Coolidge,_bw_head_and_shoulders_photo_portrait_seated,_1919.jpg",/images/time_persons/default.png,/images/cars/1921.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1922,Warren G. Harding,Calvin Coolidge,7.3,35272%,$0.15 ,$0.10 ,$0.25 ,"$3,200 ","Hendley Knight $2,450","$1,067 ",New York Giants,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,New York Giants,N/A,Dog,N/A,"Paul Whiteman, ""Three O'Clock in the Morning""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/29_William_H_Harding.jpg,"/images/vice_presidents/Calvin_Coolidge,_bw_head_and_shoulders_photo_portrait_seated,_1919.jpg",/images/time_persons/default.png,/images/cars/1922.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1923,Calvin Coolidge,nobody (Position Vacant),8.9,28913%,$0.15 ,$0.10 ,$0.22 ,"$3,200 ","Haynes 60 DeLuxe Sedan $1,895","$1,231 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,New York Yankees,N/A,Pig,N/A,"W.C. Handy and His Orchestra, ""St, Louis Blues""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/default_image.png,/images/time_persons/default.png,/images/cars/1923.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1924,Calvin Coolidge,nobody (Position Vacant),8.83,29143%,$0.14 ,$0.10 ,$0.21 ,"$3,200 ","Chrysler Six Phaeton $1,395","$1,196 ",Washington Senators,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,Washington Senators,N/A,Rat,N/A,"George Gershwin, ""Rhapsody in Blue""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/default_image.png,/images/time_persons/default.png,/images/cars/1924.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1925,Calvin Coolidge,Charles G. Dawes,10.58,24306%,$0.15 ,$0.10 ,$0.22 ,"$3,200 ","Hudson Coach $1,250","$1,253 ",Pittsburgh Pirates,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,Pittsburgh Pirates,N/A,Ox,N/A,"Isham Jones, ""It Had to Be You""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,/images/time_persons/default.png,/images/cars/1925.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1926,Calvin Coolidge,Charles G. Dawes,12.65,20312%,$0.15 ,$0.10 ,$0.23 ,"$3,200 ","Peerless Sedan $2,100","$1,310 ",St Louis Cardinals,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,St Louis Cardinals,N/A,Tiger,N/A,"Vincent Lopez, ""Always""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,/images/time_persons/default.png,/images/cars/1926.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1927,Calvin Coolidge,Charles G. Dawes,13.4,19170%,$0.15 ,$0.10 ,$0.21 ,"$3,200 ","Lincoln $4,600","$1,312 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,New York Yankees,Charles Lindbergh,Rabbit,N/A,"Gertrude Lawrence, ""Someone to Watch Over Me""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/1927.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,"/images/time_persons/115px-Charles_Lindbergh_and_the_Spirit_of_Saint_Louis_(Crisco_restoration,_with_wings).jpg",/images/cars/1927.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1928,Calvin Coolidge,Charles G. Dawes,17.53,14630%,$0.16 ,$0.09 ,$0.21 ,"$3,200 ","Packard Custom Eight Coupe $4,450","$1,297 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,New York Yankees,Walter Chrysler,Dragon,N/A,"Marion Harris, ""The Man I Love""",/images/actors/1928.jpg,/images/actresses/1928.jpg,/images/movies/1928.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,/images/time_persons/145px-Walter_P._Chrysler_at_White_House_(cropped).png,/images/cars/1928.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1929,Herbert Hoover,Charles Curtis,24.86,10287%,$0.16 ,$0.09 ,$0.21 ,"$3,200 ","Chrysler Imperial 80 $2,995","$1,405 ",Philadelphia Athletics,Nobody (Superbowl not started in this year),Mary,Robert,Wings,"Emil Jannings, The Way of All Flesh","Janet Gaynor, Seventh Heaven",Philadelphia Athletics,Owen D. Young,Snake,N/A,"Al Jolson, ""Sonny Boy""",/images/actors/1929.jpg,/images/actresses/1929.jpg,/images/movies/1929.jpg,/images/presidents/31_Herbert_Hoover.jpg,/images/vice_presidents/Charles_Curtis-portrait.jpg,/images/time_persons/120px-Owen_D._Young.jpg,/images/cars/1929.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1930,Herbert Hoover,Charles Curtis,21.71,11794%,$0.16 ,$0.09 ,$0.20 ,"$3,845 ",Used 1929 Olds Sedan $275,"$1,368 ",Philadelphia Athletics,Nobody (Superbowl not started in this year),Mary,Robert,The Broadway Melody,"Warner Baxter, In Old Arizona","Mary Pickford, Coquette",Philadelphia Athletics,Mahatma Gandhi,Horse,N/A,Stein Song (University of Maine) by Rudy Vall�e & His Connecticut Yankees,/images/actors/1930.jpg,/images/actresses/1930.jpg,/images/movies/1930.jpg,/images/presidents/31_Herbert_Hoover.jpg,/images/vice_presidents/Charles_Curtis-portrait.jpg,/images/time_persons/105px-Gandhi.jpg,/images/cars/1930.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1931,Herbert Hoover,Charles Curtis,15.98,16059%,$0.15 ,$0.08 ,$0.17 ,"$3,845 ","Used 1927 Dodge, 4-door $150","$1,275 ",St Louis Cardinals,Nobody (Superbowl not started in this year),Mary,Robert,All Quiet on the Western Front,"George Arliss, Disraeli","Norma Shearer, The Divorcee",St Louis Cardinals,Pierre Laval,Goat,N/A,Life is Just a Bowl of Cherries,/images/actors/1931.jpg,/images/actresses/1931.jpg,/images/movies/1931.jpg,/images/presidents/31_Herbert_Hoover.jpg,/images/vice_presidents/Charles_Curtis-portrait.jpg,/images/time_persons/112px-Pierre_Laval_a_Meurisse_1931.jpg,/images/cars/1931.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1932,Herbert Hoover,Charles Curtis,8.3,31010%,$0.12 ,$0.07 ,$0.18 ,"$3,845 ",New car average price $610,"$1,120 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,Cimarron,"Lionel Barrymore, A Free Soul","Marie Dressler, Min and Bill",New York Yankees,Franklin D. Roosevelt,Monkey,N/A,In a Shanty in Old Shanty Town by Ted Lewis & His Band,/images/actors/1932.jpg,/images/actresses/1932.jpg,/images/movies/1932.jpg,/images/presidents/31_Herbert_Hoover.jpg,/images/vice_presidents/Charles_Curtis-portrait.jpg,/images/time_persons/119px-Franklin_D._Roosevelt_TIME_Man_of_the_Year_1933_color_photo.jpg,/images/cars/1932.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1933,Franklin D. Roosevelt,John Nance Garner,7.09,36319%,$0.11 ,$0.08 ,$0.18 ,"$3,845 ",Plymouth 6 $445,"$1,048 ",New York Giants,Nobody (Superbowl not started in this year),Mary,Robert,Grand Hotel,"Fredric March, Jekyll & Hyde and Wallace Beery, The Champ","Helen Hayes, The Sin of Madelon Claudet",New York Giants,Hugh S. Johnson,Rooster,N/A,The Last Round-Up by George Olsen and His Orchestra,/images/actors/1933.jpg,/images/actresses/1933.jpg,/images/movies/1933.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,/images/time_persons/120px-Hugh_S._Johnson.jpg,/images/cars/1933.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1934,Franklin D. Roosevelt,John Nance Garner,10.54,24398%,$0.12 ,$0.09 ,$0.19 ,"$3,845 ",Buick $925,"$1,091 ",St Louis Cardinals,Nobody (Superbowl not started in this year),Mary,Robert,Cavalcade,"Charles Laughton, The Private Life of Henry VIII","Katharine Hepburn, Morning Glory",St Louis Cardinals,Franklin D. Roosevelt,Dog,N/A,Smoke Gets in Your Eyes by Paul Whiteman & His Orchestra,/images/actors/1934.jpg,/images/actresses/1934.jpg,/images/movies/1934.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,/images/time_persons/119px-Franklin_D._Roosevelt_TIME_Man_of_the_Year_1933_color_photo.jpg,/images/cars/1934.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1935,Franklin D. Roosevelt,John Nance Garner,9.26,27785%,$0.13 ,$0.06 ,$0.19 ,"$3,845 ",Average price of a new car $625,"$1,137 ",Detroit Tigers,Nobody (Superbowl not started in this year),Mary,Robert,It Happened One Night,"Clark Gable, It Happened One Night","Claudette Colbert, It Happened One Night",Detroit Tigers,Haile Selassie,Pig,N/A,Cheek to Cheek by Fred Astaire,/images/actors/1935.jpg,/images/actresses/1935.jpg,/images/movies/1935.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,/images/time_persons/111px-Selassie_restored.jpg,/images/cars/1935.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1936,Franklin D. Roosevelt,John Nance Garner,13.76,18666%,$0.13 ,$0.05 ,$0.19 ,"$3,845 ",Dodge 4 door Sedan $640,"$1,184 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,Muntiny on the Bounty,"Victor McLaglen, The Informer","Bette Davis, Dangerous",New York Yankees,Wallis Simpson,Rat,N/A,Pennies from Heaven by Bing Crosby,/images/actors/1936.jpg,/images/actresses/1936.jpg,/images/movies/1936.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,/images/time_persons/Wallis_Simpson_-1936.JPG,/images/cars/1936.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1937,Franklin D. Roosevelt,John Nance Garner,17.59,14580%,$0.13 ,$0.09 ,$0.20 ,"$3,845 ",Ford Model 78 Coupe $585,"$1,258 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,The Great Ziegfeld,"Paul Muni, The Story of Louis Pasteur","Luise Rainer, The Great Ziegfeld",New York Yankees,Chiang Kai-shek & Soong Mei-ling,Ox,N/A,Sweet Leilani by Bing Crosby,/images/actors/1937.jpg,/images/actresses/1937.jpg,/images/movies/1937.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,/images/time_persons/Chiang_Kai-shek.jpg,/images/cars/1937.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1938,Franklin D. Roosevelt,John Nance Garner,11.31,22731%,$0.14 ,$0.09 ,$0.20 ,"$3,845 ",Ford Model 81A Tudor sedan $665,"$1,230 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,The Life of Emile Zola,"Spencer Tracey, Captains Courageous","Luise Rainer, The Good Earth",New York Yankees,Adolf Hitler,Tiger,N/A,"A-Tisket, A-Tasket by Ella Fitzgerald",/images/actors/1938.jpg,/images/actresses/1938.jpg,/images/movies/1938.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,"/images/time_persons/Bundesarchiv_Bild_183-H1216-0500-002,_Adolf_Hitler_(cropped).jpg",/images/cars/1938.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1939,Franklin D. Roosevelt,John Nance Garner,12.5,20557%,$0.14 ,$0.09 ,$0.19 ,"$3,845 ","Plymouth Coupe $645, Sedan $685","$1,264 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,You Can't Take It With You,"Spencer Tracey, Boys Town","Bette Davis, Jezebel",New York Yankees,Joseph Stalin,Rabbit,N/A,"Harold Arlen and E.Y. Harburg, ""Over the Rainbow""",/images/actors/1939.jpg,/images/actresses/1939.jpg,/images/movies/1939.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,/images/time_persons/CroppedStalin1943.jpg,/images/cars/1939.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1940,Franklin D. Roosevelt,John Nance Garner,12.3,20893%,$0.15 ,$0.09 ,$0.18 ,"$3,920 ","Cadillac Series 60 Special $2,090-$3,820","$1,299 ",Cincinnati Reds,Nobody (Superbowl not started in this year),Mary,James,Gone with the Wind,"Robert Donat, Goodbye Mr. Chips","Vivien Leigh, Gone with the Wind",Cincinnati Reds,Winston Churchill,Dragon,N/A,"Glenn Miller, ""In the Mood""",/images/actors/1940.jpg,/images/actresses/1940.jpg,/images/movies/1940.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/John_Nance_Garner.jpg,/images/time_persons/Churchill_portrait_NYP_45063.jpg,/images/cars/1940.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1941,Franklin D. Roosevelt,Henry A. Wallace,10.55,24375%,$0.16 ,$0.09 ,$0.19 ,"$4,075 ","Buick Series Century Sport Coupe $1,128-$1,620","$1,443 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,James,Rebecca,"James Stewart, The Philadelphia Story","Ginger Rogers, Kitty Foyle",New York Yankees,Franklin D. Roosevelt,Snake,N/A,"Jimmy Dorsey, ""Amapola (Pretty Little Poppy)""",/images/actors/1941.jpg,/images/actresses/1941.jpg,/images/movies/1941.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/Henry-A.-Wallace-Townsend.jpg,/images/time_persons/800px-Franklin_Roosevelt_signing_declaration_of_war_against_Japan.jpg,/images/cars/1941.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1942,Franklin D. Roosevelt,Henry A. Wallace,8.93,28815%,$0.17 ,$0.10 ,$0.20 ,"$3,775 ","Packard Clipper 180 $2,099-2,196","$1,709 ",St Louis Cardinals,Nobody (Superbowl not started in this year),Mary,James,How Green Was My Valley,"Gary Cooper, Sergeant York","Joan Fontaine, Suspicion",St Louis Cardinals,Joseph Stalin,Horse,N/A,"Glenn Miller, ""Moonlight Cocktail""",/images/actors/1942.jpg,/images/actresses/1942.jpg,/images/movies/1942.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/Henry-A.-Wallace-Townsend.jpg,/images/time_persons/800px-JStalin_Secretary_general_CCCP_1942.jpg,/images/cars/1942.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1943,Franklin D. Roosevelt,Henry A. Wallace,10.09,25491%,$0.17 ,$0.10 ,$0.21 ,"$3,600 ","Chrysler Windsor Town & Country $1,412-$1,685","$1,951 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,James,Mrs. Miniver,"James Cagney, Yankee Doodle Dandy","Greer Garson, Mrs. Miniver",New York Yankees,George Marshall,Goat,N/A,"Harry James, ""I've Heard That Song Before""",/images/actors/1943.jpg,/images/actresses/1943.jpg,/images/movies/1943.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/Henry-A.-Wallace-Townsend.jpg,"/images/time_persons/General_George_C._Marshall,_official_military_photo,_1946.JPEG.jpeg",/images/cars/1943.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1944,Franklin D. Roosevelt,Harry S. Truman,11.85,21690%,$0.17 ,$0.09 ,$0.21 ,"$4,200 ","DeSoto Deluxe $1,010-$1,455","$2,109 ",St Louis Cardinals,Nobody (Superbowl not started in this year),Mary,James,Casablanca,"Paul Lukas, Watch on the Rhine","Jennife rJones, The Song of Bernadette",St Louis Cardinals,Dwight D. Eisenhower,Monkey,N/A,"Bing Crosby, ""Swinging On a Star""",/images/actors/1944.jpg,/images/actresses/1944.jpg,/images/movies/1944.jpg,/images/presidents/32_Franklin_D_Roosevelt.jpg,/images/vice_presidents/Harry_S._Truman.jpg,/images/time_persons/800px-General_Dwight_D._Eisenhower.jpg,/images/cars/1944.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1945,Harry S. Truman,nobody (Position Vacant),13.49,19041%,$0.17 ,$0.09 ,$0.21 ,"$4,600 ","DeSoto Custom Suburban $2,093-$2,631","$2,190 ",Detroit Tigers,Nobody (Superbowl not started in this year),Mary,James,Going My Way,"Bing Crosby, Going My Way","Ingrid Bergman, Gaslight",Detroit Tigers,Harry S. Truman,Rooster,N/A,"Les Brown & Doris Day, ""Sentimental Journey""",/images/actors/1945.jpg,/images/actresses/1945.jpg,/images/movies/1945.jpg,/images/presidents/33_Harry_S_Truman.jpg,/images/vice_presidents/default_image.png,/images/time_persons/Harry_S._Truman.jpg,/images/cars/1945.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
