year,president,vicePresident,sp500,gainTo,gallonOfMilk,loafOfBread,gallonOfGas,newHome,newCar,wages,baseball,superbowl,popularGirl,popularBoy,popularMovie,popularActor,popularActress,populartvShow,timePerson,chineseYear,hipHopMusic,popMusic,actors_image,actresses_image,movies_image,presidents_image,vice_presidents_image,time_persons_image,cars_image,gas_image,bread_image,milk_image
1973,Richard Nixon,Gerald Ford,118.4,2081%,$0.41 ,$0.33 ,$0.39 ,"$35,500 ","AMC Javelin $2,900",N/A,Oakland Athletics,Miami Dolphins,Jennifer,Michael,The Godfather,"Marlon Brando, The Godfather ","Liza Minelli, Cabaret",Oakland Athletics,John Sirica,Ox,"""Let's Get It On"" Marvin Gaye","""Tie a Yellow Ribbon 'Round the Ole Oak Tree"" Tony Orlando and Dawn",/images/actors/1973.jpg,/images/actresses/1973.jpg,/images/movies/1973.jpg,/images/presidents/37_Richard_Nixon.jpg,/images/vice_presidents/Gerald_Ford.jpg,/images/time_persons/John_sirica.JPG,/images/cars/1973.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1974,Gerald Ford,nobody (Position Vacant),96.11,2587%,$0.42 ,$0.41 ,$0.53 ,"$38,900 ","Average cost of a new car $3,750",N/A,Oakland Athletics,Miami Dolphins,Jennifer,Michael,The Sting,"Jack Lemmon, Save the Tiger","Glenda Jackson, Touch of Class",Oakland Athletics,King Faisal,Tiger,"""Feel Like Makin' Love"" Roberta Flack","""The Way We Were"" Barbra Streisand",/images/actors/1974.jpg,/images/actresses/1974.jpg,/images/movies/1974.jpg,/images/presidents/38_Gerald_Ford.jpg,/images/vice_presidents/,/images/time_persons/King_Faisal_of_Saudi_Arabia_on_on_arrival_ceremony_welcoming_05-27-1971_(cropped).jpg,/images/cars/1974.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1975,Gerald Ford,Nelson Rockefeller,90.19,2763%,$0.41 ,$0.42 ,$0.57 ,"$42,600 ","Average cost of a new car $4,950",N/A,Cincinnati Reds,Pittsburgh Steelers,Jennifer,Michael,The Godfather II,"Art Carney, Harry and Tonto","Ellen Burstyn, Alice Doesn't Live Here Anymore",Cincinnati Reds,American women,Rabbit,"""Fight the Power Pt. 1"" Isley Brothers","""Love Will Keep Us Together"" Captain & Tennille",/images/actors/1975.jpg,/images/actresses/1975.jpg,/images/movies/1975.jpg,/images/presidents/38_Gerald_Ford.jpg,/images/vice_presidents/Nelson_Rockefeller.jpg,/images/time_persons/american_women.jpg,/images/cars/1975.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1976,Gerald Ford,Nelson Rockefeller,107.46,2303%,$0.43 ,$0.42 ,$0.60 ,"$48,000 ","Volkswagen Rabbit $3,500",N/A,Cincinnati Reds,Pittsburgh Steelers,Jennifer,Michael,One Flew Over the Cuckoo's Nest,"Jack Nicholson, One Flew Over the Cuckoo's Next","Louise Fletcher, One Flew Over the Cuckoo's Next",Cincinnati Reds,Jimmy Carter,Dragon,"""Disco Lady"" Johnnie Taylor",Silly Love Songs Paul McCartney and Wings,/images/actors/1976.jpg,/images/actresses/1976.jpg,/images/movies/1976.jpg,/images/presidents/38_Gerald_Ford.jpg,/images/vice_presidents/Nelson_Rockefeller.jpg,/images/time_persons/JimmyCarterPortrait2.jpg,/images/cars/1976.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1977,Jimmy Carter,Walter Mondale,95.1,2615%,$0.43 ,$0.41 ,$0.64 ,"$54,200 ","Oldsmobile Cutlass $4,811",N/A,New York Yankees,Oakland Raiders,Jennifer,Michael,Rocky,"Peter Finch, Network","Faye Dunaway, Network",New York Yankees,Anwar Sadat,Snake,"""Float On"" The Floaters","""Tonight's the Night (Gonna Be Alright)"" Rod Stewart",/images/actors/1977.jpg,/images/actresses/1977.jpg,/images/movies/1977.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/Anwar_Sadat_cropped.jpg,/images/cars/1977.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1978,Jimmy Carter,Walter Mondale,96.73,2569%,$0.84 ,$0.36 ,$0.65 ,"$62,500 ","Chevrolet Camero Z28 $6,326",N/A,New York Yankees,Dallas Cowboys,Jennifer,Michael,Annie Hall,"Richard Dreyfuss, The Goodbye Girl","Diane Keaton, Annie Hall",New York Yankees,Deng Xiaoping,Horse,"""Serpentine Fire"" Earth, Wind & Fire","""Shadow Dancing"" Andy Gibb",/images/actors/1978.jpg,/images/actresses/1978.jpg,/images/movies/1978.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/800px-DengXiaoping.jpg,/images/cars/1978.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1979,Jimmy Carter,Walter Mondale,107.94,2292%,$0.83 ,$0.40 ,$0.88 ,"$71,800 ","Chevrolet Corvette $12,313",N/A,Pittsburgh Pirates,Pittsburgh Steelers,Jennifer,Michael,The Deer Hunter,"Jon Voight, Coming Home","Jane Fonda, Coming Home",Pittsburgh Pirates,Ruhollah Khomeini,Goat,"""Good Times"" Chic","""My Sharona"" The Knack",/images/actors/1979.jpg,/images/actresses/1979.jpg,/images/movies/1979.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/ruholah.JPG,/images/cars/1979.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1980,Jimmy Carter,Walter Mondale,135.76,1802%,$1.08 ,$0.52 ,$1.22 ,"$76,400 ","Pontiac Firebird $6,132",N/A,Philadelphia Phillies,Pittsburgh Steelers,Jennifer,Michael,Kramer vs. Kramer,"Dustin Hoffman, Kramer vs. Kramer","Sally Field, Norma Rae",Philadelphia Phillies,Ronald Reagan,Monkey,"""Let's Get Serious"" Jermaine Jackson","""Call Me"" Blondie",/images/actors/1980.jpg,/images/actresses/1980.jpg,/images/movies/1980.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/1983_Reagan.jpg,/images/cars/1980.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1981,Ronald Reagan,George H.W. Bush,122.55,2007%,$1.11 ,$0.52 ,$1.35 ,"$83,000 ","Cadillac Eldorado $19,700",N/A,Los Angeles Dodgers,Oakland Raiders,Jennifer,Michael,Ordinary People,"Robert De Niro, Raging Bull","Sissy Spacek, Coal Miner's Daughter",Los Angeles Dodgers,Lech Walesa,Rooster,"""Endless Love"" Diana Ross and Lionel Richie","""Bette Davis Eyes"" Kim Carnes",/images/actors/1981.jpg,/images/actresses/1981.jpg,/images/movies/1981.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1981.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1982,Ronald Reagan,George H.W. Bush,140.64,1736%,$1.12 ,$0.53 ,$1.28 ,"$83,900 ","Honda Civic wagon $7,517.85",N/A,St Louis Cardinals,San Francisco 49ers,Jennifer,Michael,Chariots of Fire,"Henry Fonda, On Golden Pond","Katharine Hepburn, One Golden Pond",St Louis Cardinals,The Computer,Dog,"""That Girl"" Stevie Wonder","""Physical"" Olivia Newton-John",/images/actors/1982.jpg,/images/actresses/1982.jpg,/images/movies/1982.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1982.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1983,Ronald Reagan,George H.W. Bush,164.93,1466%,$1.12 ,$0.54 ,$1.23 ,"$89,800 ","Average cost of a new car $6,116",N/A,Baltimore Orioles,Washington Redskins,Jennifer,Michael,Gandhi,"Ben Kingsley, Gandhi","Meryl Streep, Sophie's Choice",Baltimore Orioles,Ronald Reagan & Yuri Andropov,Pig,"""Sexual Healing"" Marvin Gaye","""Every Breath You Take"" The Police",/images/actors/1983.jpg,/images/actresses/1983.jpg,/images/movies/1983.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1983.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1984,Ronald Reagan,George H.W. Bush,167.24,1444%,$1.12 ,$0.54 ,$1.20 ,"$97,600 ","Average cost of a new car $6,294",N/A,Detroit Tigers,Los Angeles Raiders,Jennifer,Michael,Terms of Endearment,"Robert Duvall, Tender Mercies","Shirley MacLaine, Terms of Endearment",Detroit Tigers,Peter Ueberroth,Rat,"""When Doves Cry"" Prince","""When Doves Cry"" Prince",/images/actors/1984.jpg,/images/actresses/1984.jpg,/images/movies/1984.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1984.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1985,Ronald Reagan,George H.W. Bush,211.28,1122%,$1.15 ,$0.74 ,$1.20 ,"$100,800 ","Average cost of a new car $6,495",N/A,Kansas City Royals,San Francisco 49ers,Jessica,Michael,Amadeus,"F. Murray Abraham, Amadeus","Sally Field, Places in the Heart",Kansas City Royals,Deng Xiaoping,Ox,"""Rock Me Tonight (For Old Times Sake)"" Freddie Jackson","""Careless Whisper"" Wham! featuring George Michael",/images/actors/1985.jpg,/images/actresses/1985.jpg,/images/movies/1985.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1985.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1986,Ronald Reagan,George H.W. Bush,242.17,966%,$1.27 ,$0.71 ,$0.93 ,"$111,900 ","Average cost of a new car $6,768",N/A,New York Mets,Chicago Bears,Jessica,Michael,Out of Africa,"William Hurt, Kiss of the Spider Woman","Geraldine Page, The Trip to Bountiful",New York Mets,Corazon Aquino,Tiger,"""On My Own"" Patti Labelle and Michael McDonald","""That's What Friends Are For"" Dionne & Friends",/images/actors/1986.jpg,/images/actresses/1986.jpg,/images/movies/1986.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1986.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1987,Ronald Reagan,George H.W. Bush,247.08,945%,$1.29 ,$0.72 ,$0.96 ,"$127,200 ","Jeep Wrangler $8,395",N/A,Minnestoa Twins,New York Giants,Jessica,Michael,Platoon,"Paul Newman, The Color of Money","Marlee Matllin, Children of a Lesser God",Minnestoa Twins,Mikhail Gorbachev,Rabbit,"""Stop to Love"" Luther Vandross","""Walk Like an Egyptian"" The Bangles",/images/actors/1987.jpg,/images/actresses/1987.jpg,/images/movies/1987.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1987.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1988,Ronald Reagan,George H.W. Bush,277.72,830%,$1.15 ,$0.69 ,$0.96 ,"$138,300 ","Average cost of a new car $7,222",N/A,Los Angeles Dodgers,Washington Redskins,Jessica,Michael,The Last Emperor,"Michael Douglas, Wall Street","Cher, Moonstruck",Los Angeles Dodgers,The Endangered Earth,Dragon,"""I Want Her"" Keith Sweat","""Faith"" George Michael",/images/actors/1988.jpg,/images/actresses/1988.jpg,/images/movies/1988.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1988.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1989,George H.W. Bush,Dan Quayle,353.4,631%,$1.20 ,$1.29 ,$1.06 ,"$148,800 ","Average cost of a new car $8,243",N/A,Oakland Athletics,San Francisco 49ers,Jessica,Michael,Rain Man,"Dustin Hoffman, Rain Man","Jodie Foster, The Accused",Oakland Athletics,Mikhail Gorbachev,Snake,"""Superwoman"" Karyn White","""Look Away"" Chicago",/images/actors/1989.jpg,/images/actresses/1989.jpg,/images/movies/1989.jpg,/images/presidents/41_George_HW_Bush.jpg,"/images/vice_presidents/Dan_Quayle,_official_DoD_photo.jpg",,/images/cars/1989.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1990,George H.W. Bush,Dan Quayle,330.22,682%,$1.44 ,$0.72 ,$1.12 ,"$149,800 ","Ford Escort $5,999",N/A,Cincinnati Reds,San Francisco 49ers,Jessica,Michael,Driving Miss Daisy,"Daniel Day-Lewis, My Left Foot","Jessica Tandy, Driving Miss Daisy",Cincinnati Reds,George HW Bush,Horse,"""Hold On"" En Vogue","""Hold On"" Wilson Phillips",/images/actors/1990.jpg,/images/actresses/1990.jpg,/images/movies/1990.jpg,/images/presidents/41_George_HW_Bush.jpg,"/images/vice_presidents/Dan_Quayle,_official_DoD_photo.jpg",,/images/cars/1990.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1991,George H.W. Bush,Dan Quayle,417.09,519%,$1.39 ,$0.73 ,$1.10 ,"$147,200 ","Oldsmobile 98 Regency Elite $20,999",N/A,Minnestoa Twins,New York Giants,Ashley,Michael,Dances with Wolves,"Jeremy Irons, Reversal of Fortune","Kathy Bates, Misery",Minnestoa Twins,Ted Turner,Goat,"""Written All Over Your Face"" Rude Boys","""(Everything I Do) I Do It for You"" Bryan Adams",/images/actors/1991.jpg,/images/actresses/1991.jpg,/images/movies/1991.jpg,/images/presidents/41_George_HW_Bush.jpg,"/images/vice_presidents/Dan_Quayle,_official_DoD_photo.jpg",,/images/cars/1991.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1992,George H.W. Bush,Dan Quayle,435.71,493%,$1.36 ,$0.74 ,$1.09 ,"$144,100 ","Mazda Miata $14,978",N/A,Toronto Blue Jays,Washington Redskins,Ashley,Michael,The Silence of the Lambs,"Anthony Hopkins, The Silence of the Lambs","Jodie Foster, The Silence of the Lambs",Toronto Blue Jays,Bill Clinton,Monkey,"""Come and Talk to Me"" Jodeci","""End of the Road""  Boyz II Men",/images/actors/1992.jpg,/images/actresses/1992.jpg,/images/movies/1992.jpg,/images/presidents/41_George_HW_Bush.jpg,"/images/vice_presidents/Dan_Quayle,_official_DoD_photo.jpg",,/images/cars/1992.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1993,Bill Clinton,Al Gore,466.45,454%,$1.35 ,$0.77 ,$1.07 ,"$147,700 ","Nissan Altima GXE $14,484",N/A,Toronto Blue Jays,Dallas Cowboys,Jessica,Michael,Unforgiven,"Al Pacino, Scent of a Woman","Emma Thompson, Howards End",Toronto Blue Jays,The Peacemakers,Rooster,"""I Will Always Love You"" Whitney Houston","""I Will Always Love You""  Whitney Houston",/images/actors/1993.jpg,/images/actresses/1993.jpg,/images/movies/1993.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/1993.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1994,Bill Clinton,Al Gore,459.27,462%,$1.46 ,$0.79 ,$1.07 ,"$154,500 ","Average cost of a new car $12,350",N/A,No World Series!,Dallas Cowboys,Jessica,Michael,Schindler's List,"Tom Hanks, Philadelphia","Holly Hunter, The Piano",No World Series!,Pope John Paul II,Dog,"""Bump n' Grind"" R. Kelly","""The Sign"" Ace of Base",/images/actors/1994.jpg,/images/actresses/1994.jpg,/images/movies/1994.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/1994.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1995,Bill Clinton,Al Gore,615.93,319%,$2.52 ,$0.78 ,$1.10 ,"$158,700 ","Average cost of a new car $12,800",N/A,Atlanta Braves,San Francisco 49ers,Jessica,Michael,Forrest Gump,"Tom Hanks, Forrest Gump","Jessica Lange, Blue Sky",Atlanta Braves,Newt Gingrich,Pig,"""Creep"" TLC","""Gangsta's Paradise"" Coolio featuring L.V.",/images/actors/1995.jpg,/images/actresses/1995.jpg,/images/movies/1995.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/1995.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1996,Bill Clinton,Al Gore,740.74,249%,$2.73 ,$0.87 ,$1.19 ,"$166,400 ","Average cost of a new car $16,300",N/A,New York Yankees,Dallas Cowboys,Emily,Michael,Braveheart,"Nicholas Cage, Leaving Las Vegas","Susan Sarandon, Dead Man Walking",New York Yankees,David Ho,Rat,"""You're Makin' Me High""/""Let It Flow"" Toni Braxton","""Macarena"" (Bayside Boys Mix) Los del R�o",/images/actors/1996.jpg,/images/actresses/1996.jpg,/images/movies/1996.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/1996.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1997,Bill Clinton,Al Gore,970.43,166%,$2.67 ,$0.87 ,$1.19 ,"$176,200 ","Average cost of a new car $16,900",N/A,Florida Marlins,Green Bay Packers,Emily,Michael,The English Patient,"Geoffrey Rush, Shine","Frances McDormand, Fargo",Florida Marlins,Andrew Grove,Ox,"""In My Bed"" Dru Hill","""Candle in the Wind 1997""/""Something About the Way You Look Tonight""  Elton John",/images/actors/1997.jpg,/images/actresses/1997.jpg,/images/movies/1997.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/1997.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1998,Bill Clinton,Al Gore,1229.23,110%,$2.86 ,$0.85 ,$1.02 ,"$181,900 ","Volvo S70 sedan $26,895",N/A,New York Yankees,Denver Broncos,Emily,Michael,Titanic,"Jack Nicholson, As Good As It Gets","Helen Hunt, As Good As It Gets",New York Yankees,Bill Clinton & Ken Starr,Tiger,"""Too Close"" Next","""Too Close"" Next",/images/actors/1998.jpg,/images/actresses/1998.jpg,/images/movies/1998.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/1998.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1999,Bill Clinton,Al Gore,1469.25,76%,$2.88 ,$0.87 ,$1.12 ,"$195,600 ","Chevy Malibu $16,535",N/A,New York Yankees,Denver Broncos,Emily,Jacob,Shakespeare in Love,"Roberto Benigni, La Vita e Bella","Gwyneth Paltrow, Shakespeare In Love",New York Yankees,Jeff Bezos,Rabbit,"""Fortunate"" Maxwell","""Believe"" Cher",/images/actors/1999.jpg,/images/actresses/1999.jpg,/images/movies/1999.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/1999.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
2000,Bill Clinton,Al Gore,1320.28,96%,$2.79 ,$1.72 ,$1.46 ,"$207,000 ","Average cost of a new car $24,750",N/A,New York Yankees,St Louis Rams,Emily,Jacob,American Beauty,"Kevin Spacey, American Beauty","Hilary Swank, Boys Don't Cry",New York Yankees,George W. Bush,Dragon,"""Let's Get Married"" Jagged Edge","""Breathe"" Faith Hill",/images/actors/2000.jpg,/images/actresses/2000.jpg,/images/movies/2000.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/2000.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
2001,Bill Clinton,Al Gore,1148.08,125%,$2.90 ,$1.82 ,$1.39 ,"$213,200 ","Average cost of a new car $25,850",N/A,Arizona Diamondbacks,Baltimore Ravens,Emily,Jacob,Gladiator,"Russell Crowe, Gladiator","Julia Roberts, Erin Brockovich",Arizona Diamondbacks,Rudy Giuliani,Snake,"""Fiesta"" R. Kelly featuring Jay-Z",/images/actors/2001.jpg,/images/actors/2001.jpg,/images/actressess/2001.jpg,/images/movies/2001.jpg,/images/presidents/42_Bill_Clinton.jpg,"/images/vice_presidents/Al_Gore,_Vice_President_of_the_United_States,_official_portrait_1994.jpg",,/images/cars/2001.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
2002,,,2582.14,,,,,,,,,,,,Gladiator,"Russell Crowe, Gladiator","Julia Roberts, Erin Brockovich",,,,"""Hanging by a Moment"" ",,/images/actors/2002.jpg,/images/actresses/2002.jpg,/images/movies/2002.jpg,,,,,,,
2003,,,895.84,,,,,,,,,,,,,,,,,,,,/images/actors/2003.jpg,/images/actresses/2003.jpg,/images/movies/2003.jpg,,,,,,,
2004,,,1132.52,,,,,,,,,,,,,,,,,,,,/images/actors/2004.jpg,/images/actresses/2004.jpg,/images/movies/2004.jpg,,,,,,,
2005,,,1181.41,,,,,,,,,,,,,,,,,,,,/images/actors/2005.jpg,/images/actresses/2005.jpg,/images/movies/2005.jpg,,,,,,,
2006,,,1278.73,,,,,,,,,,,,,,,,,,,,/images/actors/2006.jpg,/images/actresses/2006.jpg,/images/movies/2006.jpg,,,,,,,
2007,,,1424.16,,,,,,,,,,,,,,,,,,,,/images/actors/2007.jpg,/images/actresses/2007.jpg,/images/movies/2007.jpg,,,,,,,
2008,,,1378.76,,,,,,,,,,,,,,,,,,,,/images/actors/2008.jpg,/images/actresses/2008.jpg,/images/movies/2008.jpg,,,,,,,
2009,,,865.58,,,,,,,,,,,,,,,,,,,,/images/actors/2009.jpg,/images/actresses/2009.jpg,/images/movies/2009.jpg,,,,,,,
2010,,,1123.58,,,,,,,,,,,,,,,,,,,,/images/actors/2010.jpg,/images/actresses/2010.jpg,/images/movies/2010.jpg,,,,,,,
2011,,,1282.62,,,,,,,,,,,,,,,,,,,,/images/actors/2011.jpg,/images/actresses/2011.jpg,/images/movies/2011.jpg,,,,,,,
2012,,,1300.58,,,,,,,,,,,,,,,,,,,,/images/actors/2012.jpg,/images/actresses/2012.jpg,/images/movies/2012.jpg,,,,,,,
2013,,,1480.4,,,,,,,,,,,,,,,,,,,,/images/actors/2013.jpg,/images/actresses/2013.jpg,/images/movies/2013.jpg,,,,,,,
2014,,,1822.36,,,,,,,,,,,,,,,,,,,,/images/actors/2014.jpg,/images/actresses/2014.jpg,/images/movies/2014.jpg,,,,,,,
2015,,,2028.18,,,,,,,,,,,,,,,,,,,,/images/actors/2015.jpg,/images/actresses/2015.jpg,/images/movies/2015.jpg,,,,,,,
2016,,,1918.6,,,,,,,,,,,,,,,,,,,,/images/actors/2016.jpg,/images/actresses/2016.jpg,/images/movies/2016.jpg,,,,,,,
2017,,,2275.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
